"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"1","IUU",2015,0.05,6419.38155745284,167316.904105428,3022503.79613074,1.17543789428586,11.7499689902986,6.0635359948629,2026,2056,11.8650067662418,1681.30239679407
"2","IUU",2015,0.1,22091.4084439331,292364.601006634,8753278.434783,4.04510596398467,20.5315476882382,17.5602157821304,2023,2038,19.6957348325003,2784.57225313346
"3","IUU",2015,0.15,33673.3420889332,415120.021656634,13039842.7958056,6.16584665739804,29.1521493766349,26.1596217880484,2023,2038,27.5927470618447,3990.65060213346
"4","IUU",2015,0.2,45816.4856699331,548107.114526634,17365945.6351342,8.3893491853464,38.4912787711631,34.838347127394,2023,2038,36.1582288471042,5341.44885213346
"5","IUU",2015,0.25,61103.7198259332,801765.423596634,23128642.6115145,11.1885587610604,56.3046448601392,46.3990672788462,2024,2040,53.0976275276911,7901.09665596127
"6","IUU",2015,0.3,61972.4434249331,805983.020296634,23379765.8661026,11.3476287008647,56.6008291022727,46.9028532113209,2024,2040,53.3342145848413,7930.53892596127
"7","IUU",2015,0.35,71388.3733989332,1186799.24548663,27755229.7276313,13.0717575444808,83.3439657919499,55.6806031855524,2025,2046,79.9032000691258,12434.2560216289
"8","IUU",2015,0.4,72551.9793979332,1471918.44548663,28959175.5154847,13.284822708625,103.366699158017,58.0958751299111,2026,2053,100.491340290994,16300.6880736711
"9","IUU",2015,0.45,65363.9384189332,1830641.19408663,28080364.333374,11.9686373912735,128.558303047058,56.3328655210439,2028,2072,127.36570042324,21978.2886544518
"10","IUU",2015,0.5,61210.6837209332,1943838.80258663,27258978.6237314,11.2081446688894,136.507699414163,54.6850588838911,2029,2080,136.100261809475,23986.7247419022
"11","IUU",2015,0.55,36709.4879649332,2405685.01788663,22632259.7103479,6.72178820461558,168.941234669169,45.4032585747145,2032,2114,172.392713136986,34089.8134463823
"12","IUU",2015,0.6,333.651677933172,2759301.63428663,16725136.9177369,0.0610941758524056,193.774256170309,33.5528014388378,2036,NA,201.528701949352,44453.329733915
"13","IUU",2015,0.65,-39956.5358060668,3117249.90248663,10016956.9768067,-7.31634751579976,218.911471528005,20.0953194055917,2044,NA,231.508412114156,58902.8248864971
"14","IUU",2015,0.7,-64246.4601760668,3275895.17078663,6346749.61725539,-11.7640185723189,230.052467669124,12.7324057636835,2066,NA,245.208295723664,76764.7419661088
"15","IUU",2015,0.75,-123281.725514067,3656917.10578663,-2398916.11801014,-22.5738274856,256.810050501595,-4.81253795241953,2080,NA,278.377496729222,122291.341161676
"16","IUU",2015,0.8,-180086.077872067,3930649.98398663,-9751502.54687348,-32.9751391578187,276.033169932783,-19.5627832701676,2092,NA,302.952938411257,170774.293455592
"17","IUU",2015,0.85,-235833.735278067,4157798.55458663,-16304430.2793119,-43.1829618968489,291.984867551207,-32.7088091670553,2102,NA,323.32068731871,224323.04562181
"18","IUU",2015,0.9,-269198.957030067,4307093.07068663,-20648536.7261646,-49.2923893623373,302.469199328535,-41.4236520862692,2104,NA,336.929935716266,256209.305611874
"19","IUU",2015,0.95,-329084.126354067,4521035.78418663,-27364098.2522685,-60.2578222002454,317.493504629697,-54.8959425400895,2112,NA,356.288342103397,322389.929799455
"20","IUU",2015,1,-377826.854521367,4688056.88528663,-32746500.8820654,-69.1829887830296,329.222700607493,-65.6937427368658,NA,NA,371.309421838146,NA
"21","IUU",2020,0.05,4570.89325798326,158687.561284155,1720815.70937942,0.799043953212445,10.649531600854,3.45217626090599,2028,2048,11.2115929157802,1510.82312445182
"22","IUU",2020,0.1,20620.2621659833,283013.346194155,5333894.50589805,3.60465556018124,18.9930423617836,10.7004741362331,2026,2038,19.1004540021426,2640.59506667111
"23","IUU",2020,0.15,34396.6958769833,407928.459724155,8290868.4525025,6.01293233067479,27.3761030011737,16.6325418218929,2026,2037,27.1353578806063,3816.90179667111
"24","IUU",2020,0.2,45577.8039349833,529032.430174155,10623977.1183112,7.96751675864319,35.5033976035954,21.3130560142717,2026,2038,35.0645100167383,4990.58816667112
"25","IUU",2020,0.25,72317.2844649833,1051994.54334415,15842137.8113528,12.641881051054,70.5994158748738,31.7813533292743,2027,2042,70.6932415667931,10115.6466658571
"26","IUU",2020,0.3,68548.3111979833,922739.032254155,15160185.1249619,11.9830218021412,61.9250708991347,30.413269075866,2027,2041,61.679040735575,8689.63424985713
"27","IUU",2020,0.35,77103.8257339833,1179417.94534415,16451846.1900592,13.4786227209927,79.1508079014826,33.0045062674846,2027,2044,79.6084354400469,11538.3404378571
"28","IUU",2020,0.4,71631.6332309833,1051496.58454415,15752790.3359614,12.5220214433978,70.5659978304246,31.6021108735966,2027,2042,70.7609662381328,10108.3666088571
"29","IUU",2020,0.45,65467.4642879833,2077829.06284415,13265196.3298312,11.4444548404408,139.443231006041,26.6116793428248,2030,2082,146.69053653386,22732.9103120673
"30","IUU",2020,0.5,53504.4476279833,2280902.68104415,11166482.7508709,9.35318392579898,153.071513505437,22.4013916541212,2032,2098,162.92032117297,25919.2326323823
"31","IUU",2020,0.55,58586.4736759833,2151635.81694415,12354951.3356937,10.2415796844683,144.396406628527,24.7856115406524,2031,2088,152.753432000966,23803.3556858409
"32","IUU",2020,0.6,44456.6419259832,2391827.04494416,9964759.71490673,7.77152493094116,160.515654111659,19.9905816444686,2032,2108,171.841457714828,28105.2098923823
"33","IUU",2020,0.65,-46809.0870890167,3287438.71684415,-2800535.56780955,-8.18275901073568,220.620206256825,-5.61823230245939,2068,NA,246.131230973138,66696.292523054
