"","Name","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"1","Atrina","IUU",2015,0.05,594.580475838608,25573.0868399218,2454357.86849982,0.732434761204213,6.44316882617459,12.6303345885315,2031,2068,5.96374841182708,200.894091479226
"2","Atrina","IUU",2015,0.1,1785.476252672,41803.6325407329,6343836.00908551,2.19944133032142,10.5324735998171,32.645920302771,2028,2051,8.93641145983426,330.351266491235
"3","Atrina","IUU",2015,0.15,2844.247652672,58654.0105407329,9411627.97944551,3.50369030761099,14.7779458385995,48.4330390155529,2028,2049,12.1371584419093,473.987866491235
"4","Atrina","IUU",2015,0.2,4012.413352672,76843.1805407329,12557354.5215935,4.94269680091988,19.3607282712246,64.6212156711596,2028,2049,15.4791960576152,636.892066491235
"5","Atrina","IUU",2015,0.25,5802.884252672,114214.312540733,17078250.3053825,7.14829079428969,28.7764282298766,87.8861303447633,2028,2053,22.8897728200969,977.781866491235
"6","Atrina","IUU",2015,0.3,5865.81345267201,114605.794540733,17245120.5482595,7.22581021419626,28.8750625728559,88.7448588241983,2028,2053,22.9257075384307,982.212566491235
"7","Atrina","IUU",2015,0.35,7828.756552672,175500.984540733,21448043.8229157,9.64386431978751,44.2176761700331,110.373459889324,2030,2059,36.0753118036051,1544.94927957775
"8","Atrina","IUU",2015,0.4,8558.36545267201,224182.470540733,23250221.325311,10.5426340274377,56.4830329089544,119.647618778422,2032,2065,47.45810308181,2061.61820383442
"9","Atrina","IUU",2015,0.45,8209.774652672,289811.307540733,23935625.8785495,10.113221980236,73.0182943462392,123.174768974003,2037,2075,64.2109721391931,2925.27599230087
"10","Atrina","IUU",2015,0.5,7836.69885267199,311333.208540733,23794138.4158025,9.65364805275605,78.4407622114302,122.446662442551,2039,2079,70.0029360248364,3285.23090226778
"11","Atrina","IUU",2015,0.55,4929.34985267201,403189.346540733,22298493.5606855,6.07222626532031,101.584022489672,114.749946658683,2045,NA,95.8975593426339,5239.06630758529
"12","Atrina","IUU",2015,0.6,208.572552672005,479572.734540733,19499659.9823155,0.256930380357023,120.828905498121,100.346910733837,2050,NA,119.341005067978,7385.39157194225
"13","Atrina","IUU",2015,0.65,-5650.53894732799,558265.376540733,16114717.7639155,-6.96062402439981,140.655607724471,82.9277098381789,2054,NA,144.010338818846,10071.7227239498
"14","Atrina","IUU",2015,0.7,-9474.793817328,595250.012540733,14083934.5098855,-11.6715375446292,149.973929568614,72.477126284582,2057,NA,156.158667450081,11621.6022570947
"15","Atrina","IUU",2015,0.75,-18427.965167328,683472.994540733,9272035.30251551,-22.7005137492525,172.201811987845,47.7146832132622,2067,NA,185.075751494117,15894.3301225811
"16","Atrina","IUU",2015,0.8,-26843.671817328,750084.997540733,5025662.89006551,-33.0674133381832,188.984783236691,25.8624891852025,NA,NA,207.739922521421,NA
"17","Atrina","IUU",2015,0.85,-34828.571247328,806806.418540733,1169212.6894655,-42.9036224720317,203.275810903832,6.01686806257493,NA,NA,227.368276314764,NA
"18","Atrina","IUU",2015,0.9,-40245.399737328,843756.968540733,-1425522.31884449,-49.5763499543149,212.585544740826,-7.33585924102841,NA,NA,240.091778060648,NA
"19","Atrina","IUU",2015,0.95,-49162.172297328,898711.860540733,-5500282.8431545,-60.5604882603777,226.431493381935,-28.3049238793619,NA,NA,259.409477438114,NA
"20","Atrina","IUU",2015,1,-56461.835657328,941913.219540733,-8789254.94884449,-69.552588417067,237.316125780815,-45.2302544028208,NA,NA,274.658202426191,NA
"21","Atrina","IUU",2020,0.05,594.506105217864,25999.913483567,976516.539359372,0.698053119378591,6.26280377616428,5.02522272098592,2036,2074,6.27942206717063,280.196835103379
"22","Atrina","IUU",2020,0.1,1792.66430521787,42524.499483567,2906666.92427537,2.10489833371418,10.243210851971,14.9579122129251,2033,2058,9.53983191116301,466.546373650908
"23","Atrina","IUU",2020,0.15,2934.32960521786,59605.708483567,4519664.94529738,3.44541110045732,14.3576960903263,23.2585133573385,2033,2056,12.8679690780705,673.876873650908
"24","Atrina","IUU",2020,0.2,3963.63560521786,76759.854483567,5814046.53618737,4.65399459150792,18.4897502378747,29.9194919665012,2033,2056,16.2549409153314,883.650673650909
"25","Atrina","IUU",2020,0.25,7345.25180521786,157810.391483567,8826514.74939637,8.62459761178494,38.0130309405035,45.4218650458112,2035,2063,33.155358280105,1878.32062495638
"26","Atrina","IUU",2020,0.3,6637.30190521787,136789.958483567,8408965.11945637,7.79334183203537,32.9496738161725,43.2731253133636,2034,2061,28.6108824439336,1622.5306338223
"27","Atrina","IUU",2020,0.35,7913.65140521787,178635.907483567,9172008.47286307,9.29199717312022,43.0294368730773,47.1998000209442,2035,2065,37.6827370969552,2166.66382495638
"28","Atrina","IUU",2020,0.4,7226.77400521787,158166.108483567,8763689.73622878,8.48548415753908,38.0987152937324,45.0985631140045,2035,2063,33.3701585131878,1880.73562495638
"29","Atrina","IUU",2020,0.45,7340.23360521787,345281.976483567,7302220.97827637,8.61870537597287,83.1707869924066,37.5777422036987,2042,2096,79.7988351945524,4754.01443191374
"30","Atrina","IUU",2020,0.5,5684.27820521787,387318.481483567,6016434.26790737,6.67432697114855,93.2964507726781,30.960993453568,2044,2120,91.856033153662,5609.19743942795
"31","Atrina","IUU",2020,0.55,6686.29640521787,361113.924483567,6772093.22552437,7.85086985951435,86.9843529021972,34.8496675415918,2043,2104,84.4879611748685,5046.99350519099
"32","Atrina","IUU",2020,0.6,4662.18290521787,410825.021483567,5281240.59105738,5.4742100905898,98.9586560553843,27.177635138249,2045,NA,98.729282703694,6116.71170758529
"33","Atrina","IUU",2020,0.65,-9721.58289478213,610367.400483567,-2828775.77226863,-11.414821825107,147.023999253386,-14.5570788721146,2057,NA,160.428901410786,12058.0543870947
"34","Atrina","IUU",2020,0.7,-12381.6766947821,636883.293483567,-4097178.75886863,-14.5382326002565,153.411091076354,-21.0843697583604,2059,NA,169.034703981569,13134.3145317604
"35","Atrina","IUU",2020,0.75,-17098.6715947821,677878.181483567,-6170619.83105863,-20.0768014646271,163.285852372468,-31.7544431945258,2064,NA,182.707060935044,15047.1209543787
"36","Atrina","IUU",2020,0.8,-21084.0014347821,713686.261483567,-7968308.99329863,-24.7562688446048,171.911226406229,-41.0054779279314,NA,NA,194.509785867444,NA
"37","Atrina","IUU",2020,0.85,-39471.1396747821,847769.545483567,-15307495.4468286,-46.3459532771537,204.208922238427,-78.7734470644565,NA,NA,240.174245057151,NA
"38","Atrina","IUU",2020,0.9,-43543.8153247821,874081.478483567,-16821585.1402086,-51.1279797639261,210.546884611061,-86.5650590055868,NA,NA,249.329272166484,NA
"39","Atrina","IUU",2020,0.95,-48765.5589647821,906036.448483567,-18705984.5620286,-57.2592110574408,218.24412971573,-96.2623108269998,NA,NA,260.478951529964,NA
"40","Atrina","IUU",2020,1,-52752.4804347821,930263.848483567,-20130765.3628486,-61.9405472866643,224.079974219695,-103.594332932229,NA,NA,268.979281184451,NA
"41","Atrina","IUU",2025,0.05,647.512638660803,26402.1304184064,496606.423467059,0.726616921436444,6.09461505030134,2.55557165657653,2039,2074,6.50535128358878,325.653402267781
"42","Atrina","IUU",2025,0.1,1907.6191386608,42937.0264184064,1654194.43685996,2.14066608595274,9.91149741622256,8.51260116168494,2037,2060,9.8812074873633,555.338992300869
"43","Atrina","IUU",2025,0.15,3100.33503866081,60630.3064184064,2609422.54245596,3.47909178401899,13.9957788309533,13.428272318702,2037,2059,13.5209170732331,806.218792300868
"44","Atrina","IUU",2025,0.2,4233.1272386608,79637.1564184064,3336056.36515296,4.75027311986685,18.383282120766,17.1675811843222,2037,2059,17.3617120557144,1083.08629230087
"45","Atrina","IUU",2025,0.25,5360.3406386608,98797.7974184063,3990910.41924796,6.01519411384757,22.8062862178372,20.5375063015925,2037,2060,21.2583008030701,1357.05699230087
"46","Atrina","IUU",2025,0.3,6862.0818386608,137793.319418406,4611360.66592796,7.70039761782101,31.8079346268561,23.7303870010837,2038,2064,29.6041088702848,1891.95847006347
"47","Atrina","IUU",2025,0.35,8301.1312386608,182514.494418406,4849538.70401866,9.31525049078666,42.1312813380043,24.9560679721716,2039,2068,39.4068344013562,2513.89360226778
"48","Atrina","IUU",2025,0.4,8915.1054386608,223633.672418406,4631176.60436766,10.0042317035211,51.6231502562833,23.8323612169454,2040,2073,48.9956930956555,3111.32606194623
"49","Atrina","IUU",2025,0.45,8135.5646386608,324599.956418406,3102559.74182696,9.1294572166453,74.9300055852913,15.9659911035651,2043,2092,74.9328195416389,4661.09710519099
"50","Atrina","IUU",2025,0.5,8865.31883866081,301072.614418406,3639782.21187296,9.94836285423408,69.4990009514068,18.7305757985045,2042,2085,68.3287327679432,4299.27483191374
"51","Atrina","IUU",2025,0.55,3127.68213866081,460157.860418406,-211667.498862039,3.50977978055495,106.22192138197,-1.08925586772269,2048,NA,113.078527557246,7285.0670567824
"52","Atrina","IUU",2025,0.6,3952.2325386608,442587.221418406,271214.281429961,4.43506252786366,102.165950170717,1.39568780774571,2047,NA,108.055977288972,6896.16421828458
"53","Atrina","IUU",2025,0.65,-7239.4338613392,598265.756418406,-4631120.55438304,-8.12384937558667,138.102472238588,-23.8320727797741,2055,NA,155.698600986942,10960.4157583271
"54","Atrina","IUU",2025,0.7,-7804.5617613392,601441.976418406,-4787480.13423404,-8.75801691209238,138.835664519222,-24.6367101980977,2055,NA,156.932787963133,11084.3938583271
"55","Atrina","IUU",2025,0.75,-22509.1118613392,740625.806418406,-9875665.59592104,-25.2589688423404,170.964581831334,-50.8208712053396,NA,NA,202.051827444376,NA
"56","Atrina","IUU",2025,0.8,-23278.7888613392,744295.620418406,-10049451.278207,-26.1226745043598,171.811714365026,-51.7151845750062,NA,NA,203.443615134893,NA
"57","Atrina","IUU",2025,0.85,-36255.2507313392,841093.174418406,-13915115.403032,-40.6844239006617,194.156268387434,-71.6081646179894,NA,NA,235.969601769337,NA
"58","Atrina","IUU",2025,0.9,-39834.0878413392,862737.821418406,-14845927.938663,-44.7004746275926,199.152675468004,-76.398191531128,NA,NA,243.505927888302,NA
"59","Atrina","IUU",2025,0.95,-53042.0951413392,947327.544418406,-18422411.14045,-59.5220565236389,218.679198166234,-94.8030261623402,NA,NA,272.542303501544,NA
"60","Atrina","IUU",2025,1,-54658.4156813392,956203.872418406,-18819456.788379,-61.3358371121665,220.72819199222,-96.8462510508352,NA,NA,275.637079164746,NA
"61","Atrina","IUU",2030,0.05,743.809241649607,26716.6579163019,411686.57438428,0.799576026997311,5.92209145691033,2.11856987783488,2042,2071,6.62118698749527,332.587231913742
"62","Atrina","IUU",2030,0.1,2127.1178416496,43479.3899163019,1297383.0528832,2.28659760802285,9.63776698349275,6.67643014582787,2041,2060,10.0915928363618,574.336145094141
"63","Atrina","IUU",2030,0.15,3410.2751416496,60938.0559163019,2001027.77761038,3.66595908741398,13.5077052479103,10.2974384838674,2040,2060,13.695529555047,849.303861946228
"64","Atrina","IUU",2030,0.2,4644.9809416496,80436.674916302,2591921.95673978,4.99323643595169,17.8298253784746,13.3382240882165,2040,2060,17.7423250350788,1140.03096194623
"65","Atrina","IUU",2030,0.25,7676.56594164961,137095.075916302,3670958.68363478,8.25211324746963,30.3888899731357,18.8910277231086,2041,2063,29.5366206914536,1945.08324509414
"66","Atrina","IUU",2030,0.3,7604.29364164961,139077.949916302,3650770.25256428,8.1744223621456,30.8284195435003,18.7871365481033,2041,2064,30.1336824656452,1961.63114509414
"67","Atrina","IUU",2030,0.35,9589.3151416496,207883.904916302,3875361.96924758,10.3082700150118,46.0801459969585,19.942902306285,2042,2070,45.5021637159444,2915.30873191374
"68","Atrina","IUU",2030,0.4,8359.6898416496,160125.499916302,3819270.24986378,8.98645407482683,35.4938801873571,19.6542501265042,2042,2065,34.6607141764414,2233.93053191374
"69","Atrina","IUU",2030,0.45,9777.6679416496,323318.768916302,3029143.89440748,10.5107444870469,71.66777091867,15.58820085381,2045,2086,74.1074371759301,4529.65160758529
"70","Atrina","IUU",2030,0.5,8787.1656416496,347690.799916302,2636328.92190078,9.4459796933086,77.0701456103257,13.5667456495448,2045,2094,81.0698428825271,4900.19270758529
"71","Atrina","IUU",2030,0.55,5388.5058416496,443009.889916302,1130192.56581378,5.7925068029037,98.1988500440127,5.81605540493289,2048,NA,107.66882899115,6474.98755678239
"72","Atrina","IUU",2030,0.6,6584.3544416496,418690.468916302,1570367.31917678,7.07801364919901,92.8081370367085,8.0812275807634,2047,2126,100.654798797644,6050.59851828458
"73","Atrina","IUU",2030,0.65,-5335.4397583504,598140.703916302,-2072451.40859622,-5.73546211230725,132.585593744181,-10.6649898265327,2055,NA,154.580737738031,9827.32245832713
"74","Atrina","IUU",2030,0.7,-9348.2769583504,639039.082916302,-3034625.93556022,-10.0491600952028,141.651246403138,-15.6164118472645,2058,NA,167.649051982053,10979.4215550232
"75","Atrina","IUU",2030,0.75,-17858.3979583504,720310.118916302,-5020616.31763422,-19.197323841267,159.666018666108,-25.836466769931,2068,NA,193.697516573622,13924.7020683426
"76","Atrina","IUU",2030,0.8,-19754.8265583504,734643.285916302,-5394249.90272022,-21.235936378682,162.843149806803,-27.7592131210709,NA,NA,198.519154257872,NA
"77","Atrina","IUU",2030,0.85,-36560.5517583504,862068.818916302,-8789514.01973922,-39.3016637638692,191.088661005683,-45.2314960012405,NA,NA,240.814638243031,NA
"78","Atrina","IUU",2030,0.9,-42818.0131983504,901190.991916302,-9908927.24773722,-46.0282757459787,199.760594719282,-50.9920801282147,NA,NA,254.153478207414,NA
"79","Atrina","IUU",2030,0.95,-50162.2115083504,947498.160916302,-11232381.6163832,-53.923102238275,210.025175371088,-57.8026752133127,NA,NA,269.928837516062,NA
"80","Atrina","IUU",2030,1,-52138.7277083504,959880.423916302,-11587854.6862362,-56.0478069098477,212.769863503834,-59.6319661958967,NA,NA,274.15852559122,NA
"81","Atrina","IUU_20",2015,0.05,738.515306506044,30965.1265826481,2743233.14205384,0.754376282748824,6.48318784857883,9.71109874157967,2031,2068,6.07405068829979,252.676619582442
"82","Atrina","IUU_20",2015,0.1,2182.63928684279,50539.5753254599,7198346.04131975,2.22951548503421,10.5815023797114,25.4822851589562,2028,2052,9.11071812342726,413.400326628807
"83","Atrina","IUU_20",2015,0.15,3473.11168684279,70885.5753254599,10692782.0917498,3.54770315633332,14.8413570783549,37.8526568242877,2028,2050,12.3689809907891,593.516726628808
"84","Atrina","IUU_20",2015,0.2,4898.5858868428,92846.5063254599,14269837.3296998,5.00379203990416,19.4393308868154,50.5155020222754,2028,2050,15.7636880935446,797.281426628808
"85","Atrina","IUU_20",2015,0.25,7098.82648684279,138031.38532546,19354901.5064878,7.25128685870986,28.8997171600774,68.5167282290594,2029,2053,23.2784925306618,1208.76199777225
"86","Atrina","IUU_20",2015,0.3,7174.74338684281,138500.12732546,19547151.7222858,7.32883421394447,28.9978579647147,69.1972977366538,2029,2053,23.3150656812724,1213.78679777225
"87","Atrina","IUU_20",2015,0.35,9621.49828684281,212241.05632546,24147609.9879758,9.82813768131866,44.4370422212265,85.4830095814676,2031,2060,36.6393376858055,1922.0310668286
"88","Atrina","IUU_20",2015,0.4,10563.6222868428,271251.14932546,26005498.4897579,10.7904955292161,56.7920221648734,92.0599710562562,2033,2065,48.1794403952541,2581.70432970637
"89","Atrina","IUU_20",2015,0.45,10217.6314868428,350882.63832546,26476201.5784927,10.4370739396161,73.4645166392974,93.7262691563327,2037,2074,65.1805422389691,3692.5698615182
"90","Atrina","IUU_20",2015,0.5,9790.6179868428,377011.76932546,26203678.6041378,10.0008895383237,78.9351890791785,92.7615325203029,2039,2079,71.0612228253911,4141.16621189017
"91","Atrina","IUU_20",2015,0.55,6363.82948684279,488583.14032546,23998752.0455298,6.50050444457854,102.294956551333,84.9560495665127,2045,NA,97.3690315301682,6509.18658150751
"92","Atrina","IUU_20",2015,0.6,704.702886842802,581440.09032546,20350986.8611798,0.719837679105013,121.736474036795,72.0428897813411,2049,NA,121.20530950665,9094.21139940828
"93","Atrina","IUU_20",2015,0.65,-6341.6682131572,677111.65932546,16000534.6125397,-6.47786721672878,141.767290056221,56.6422041052269,2053,NA,146.289464291745,12284.838118935
"94","Atrina","IUU_20",2015,0.7,-10961.6560131572,722091.91632546,13438529.1511998,-11.1970777628143,151.184834493832,47.5726548824031,2056,NA,158.644729761072,14112.4869321668
"95","Atrina","IUU_20",2015,0.75,-21775.1667431572,829384.17732546,7364743.85411975,-22.2428285496941,173.648682038752,26.0713366565164,2065,NA,188.053818817344,19112.5193201965
"96","Atrina","IUU_20",2015,0.8,-31963.4488831572,910419.70632546,2060058.23021975,-32.6499228111947,190.615141242906,7.29264625028915,NA,NA,211.10627595033,NA
"97","Atrina","IUU_20",2015,0.85,-41640.1201531572,979430.91432546,-2739614.24336025,-42.5344184170894,205.064060866314,-9.69828776973389,NA,NA,231.070257883434,NA
"98","Atrina","IUU_20",2015,0.9,-48206.1382631572,1024378.68232546,-5968637.38938025,-49.2414538578541,214.47480306175,-21.1290925850947,NA,NA,244.009374581724,NA
"99","Atrina","IUU_20",2015,0.95,-59024.0390531572,1091241.05932546,-11021930.8215302,-60.2916889893571,228.473820599641,-39.0178497371915,NA,NA,263.654933561751,NA
"100","Atrina","IUU_20",2015,1,-67882.3463131572,1143803.13432546,-15096347.7606202,-69.3402447110536,239.478774996535,-53.4413650422903,NA,NA,279.161449041709,NA
