"","Name","Adjusted","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"2","Atrina","IUU",2000,4.27,4.27,2771.39239629041,1537.36168868267,4666.33104158858,0.35761142464485,0.19837613194729,0.602128119381661,0.178805712322425,0.099188065973645,0.30106405969083,0.0015407417606094,0.000915065811221646,0.00277748563102211,0.100931996783572,0.0584514789780646,0.174285888960006,0.0152651469277201,0.00906616177607002,0.0275183858393077,0.0109179818804699
"3","Atrina","IUU",2005,370.918,187.594,3095.91761839809,1668.92070753635,5512.06683716194,0.399487099546195,0.215352078125145,0.711259104634044,0.199743549773097,0.107676039062572,0.355629552317022,0.119808743551749,0.0672919997085846,0.222250223347967,0.112750957793137,0.0652960453495642,0.194694462968034,1.06259623773273,0.596819761230271,1.97116040251939,0.848986978001094
"4","Atrina","IUU",2006,460.838,278.675333333333,3332.63228157495,1735.58606437975,6121.87085745481,0.430031986674524,0.22395435807191,0.78994622405567,0.215015993337262,0.111977179035955,0.394973112027835,0.138280482532629,0.0752773148487479,0.265522989299116,0.121371925236929,0.0702885978935496,0.209580852046993,1.13931193117925,0.620220159660482,2.18768046054137,0.979881146414005
"5","Atrina","IUU",2007,926.882,586.212666666667,3556.42587457711,1779.57950392071,6572.37239504206,0.458909581102154,0.229631127846673,0.848077471322177,0.229454790551077,0.114815563923337,0.424038735661088,0.260621768226848,0.141027005818965,0.520843265478122,0.129522317162414,0.0750086319509067,0.223654667560142,2.01217654174641,1.08882398731428,4.02126272050099,1.84681418775285
"6","Atrina","IUU",2008,499.08,628.933333333333,3514.1521325692,1696.1480491836,6176.03521224074,0.453454715481265,0.21886540537855,0.796935415519821,0.226727357740633,0.109432702689275,0.39846770775991,0.142020032477969,0.0808091247619244,0.294243182510052,0.127982739729034,0.0741170358183609,0.220996178377817,1.10968113964942,0.631406429749936,2.2990848854543,1.0063802909093
"7","Atrina","IUU",2009,304.792,576.918,3381.60295791825,1567.68471478565,5755.37150775269,0.436351002832752,0.202288916213692,0.74265434479894,0.218175501416376,0.101144458106846,0.37132717239947,0.0901324028257986,0.0529578324508565,0.194421746366057,0.123155399909728,0.0713214391695282,0.212660494565638,0.731859121823853,0.430008204996893,1.57867009086542,0.638694923480272
"8","Atrina","IUU",2010,383.414,395.762,3296.29235029603,1446.97814979735,5437.14653158941,0.425342800612837,0.18671333524319,0.701591633060375,0.212671400306418,0.0933566676215948,0.350795816530188,0.11631674598449,0.0705175035788338,0.264975666739473,0.120048452663406,0.0695221518529033,0.207295525279058,0.968914995602824,0.587408683863273,2.20723933429126,0.824242035570959
"9","Atrina","IUU",2011,645.136,444.447333333333,3361.62557859458,1380.14702269691,5564.96467196309,0.433773187042332,0.178089664843792,0.718084868495267,0.216886593521166,0.0890448324218958,0.359042434247633,0.191911914315489,0.115928139355541,0.467440054856876,0.122427838995459,0.0709000959598343,0.211404167486449,1.56755126848729,0.946909953706206,3.81808630040602,1.35992341916796
"10","Atrina","IUU",2012,564.416,530.988666666667,3387.01461253529,1262.12343551128,5602.68866502737,0.437049305072404,0.162860286567498,0.722952649369988,0.218524652536202,0.0814301432837488,0.361476324684994,0.166641147018116,0.10074020416718,0.447195562747284,0.12335248824234,0.0714355764589672,0.213000819897026,1.35093462152729,0.816685626716048,3.62534691532704,1.18085007507351
"11","Atrina","IUU",2013,1025.9842,745.178733333333,3314.76653251026,1071.55395428135,5469.4906559788,0.427726648757049,0.138269823027335,0.705765213249619,0.213863324378525,0.0691349115136673,0.35288260662481,0.309519294929959,0.187583134250075,0.957473205992777,0.120721268285734,0.0699117911096096,0.208457320077343,2.56391685843922,1.55385324320885,7.93127192572679,2.19331113110382
